Al-Balqa Applied University,Higher Education Institutions,Jordan ,2022-12-19,Western Asia,https://www.bau.edu.jo/,d.mahadin@bau.edu.jo,
"Albert Schweitzer Institute, The (at Quinnipiac University)",Higher education institution / University,United States of America,2025-03-15,,https://www.qu.edu/academics/centers-and-institutes/albert-schweitzer-institute/,schweitzer@quinnipiac.edu,
Alexandria University Faculty of Medicine ,Higher education institution / University,Egypt ,2024-04-02,,http://www.med.alexu.edu.eg/portal/,mahmoud.abdalla1801@alexmed.edu.eg,
Alfred State College,Higher Education Institutions,United States of America,2012-01-02,North America,https://www.alfredstate.edu/,SullivID@alfredstate.edu,
Aligarh Muslim University duplicate,Higher education institution / University,India,2024-04-02,Asia-Pacific,https://www.amu.ac.in/,z.fatima.zeba@gmail.com,
Aligrah Muslim University,Higher Education Institutions,India ,2022-09-19,Asia-Pacific,https://www.amu.ac.in/,rahmed1378@gmail.com,
All- Africa Students Union,National / Rational Networks & Organizations,Ghana,2022-10-17,Africa,https://aasuonline.org/,veronadzeagu@aasuonline.org; adonteng@aasuonline.org,
All Nations College,Higher Education Institutions,Philippines ,2022-10-17,Asia-Pacific,,wcf.hilario@gmail.com,
Alliance for Sustianability Leadership in Education (EAUC),International Networks & Organizations,United Kingdom,2012-02-01,Europe,https://www.eauc.org.uk/about_us,fgoodwin@eauc.org.uk; Richard.Grubb@acu.ac.uk; ipatton@eauc.org.uk; jamie.agombar@sos-uk.org,
ALMAAREFA UNIVERSITY ,Higher education institution / University,Saudi Arabia,2024-04-02,Western Asia,WWW.UM.EDU.SA,"mdarabi@um.edu,sa",
Almaty technological university,Higher Education Institutions,Kazakhstan,2023-08-09,Asia-Pacific,atu.edu.kz,d.orazalina@atu.edu.kz,
Al-Mustaqbal University,Higher Education Institutions,Iraq,2022-12-19,Western Asia,https://uomus.edu.iq/en/default.aspx,elaf.salah@uomus.edu.iq,
Al-Quds University,Higher Education Institutions,Palestine  ,2023-08-09,Western Asia,https://www.alquds.edu/,sustainability@alquds.edu,
Al-Razi University,Higher education institution / University,Yemen,2025-03-15,,https://alraziuni.edu.ye/,s.shanei@alraziuni.edu.ye,
Alsaid Foundation,Higher Education Institutions,Jordan ,2022-09-19,Western Asia,https://alsaidfoundation.org/,m.alsaid@alsaidfoundation.org,
AlterContacts Academy for Sustainable Development,Higher Education Institutions,The Netherlands,,Europe,https://www.altercontacts.org/academy,,
Altınbaş University,Higher education institution / University,Turkey,2025-03-15,,www.altinbas.edu.tr,dicle.yurdakul@altinbas.edu.tr,
ALTIS-Università Cattolica del Sacro Cuore,Higher Education Institutions,Italy,2012-01-02,Europe,https://altis.unicatt.it/,mario.molteni@unicatt.it,
Alto Vale do Rio do Peixe University,Higher Education Institutions,Brazil ,2022-06-14,Latin America and the Caribbean,https://uniarp.edu.br/,internacionalizacao@uniarp.edu.br,
Alvernia University,Higher Education Institutions,United States of America,2022-12-19,North America,https://www.alvernia.edu/,alicia.sprow@alvernia.edu,
American Association for Higher Education and Accreditation AAHEA,Non-Governmental Private Accreditation Association,United States of America,2022-12-19,North America,https://www.aahea.org/,drcampbell@aahea.org,
American College & University Presidents' Climate Commitment (ACUPCC),National/ Regional Networks & Organizations,United States of America,,North America,,,
American University of Ras Al Khaimah,Higher education institution / University,United Arab Emirates,2025-03-15,,https://aurak.ac.ae/,uday.kumar@aurak.ac.ae,
"Amfort (or WAPTT, the World Association for Professional Tourism Training)",International Networks & Organizations,France ,,Europe,http://amforht.groupment.com/platform/welcome/,,
Amity University Dubai,Higher education institution / University,UAE,2024-04-02,,https://amityuniversity.ae/,dradelahmed@hotmail.com,
Amrita University,Higher Education Institutions,India ,2022-04-09,Asia-Pacific,https://www.amrita.edu/,raghu@amrita.edu,
Anam Cara Philippines Learning Organization ,International network or organization,Philippines ,2025-03-15,,https://education5037.wordpress.com/,elrimban@alum.up.edu.ph,
"Anand Engineering College, Agra",Higher Education Institutions,India ,2023-02-27,Asia-Pacific,www.aecagra.edu.in,shubhamsaxena89@gmail.com,
Anglia Ruskin University,Higher Education Institutions,United Kingdom,2012-01-02,Europe,https://aru.ac.uk/,aled.jones@anglia.ac.uk,
"Anna University,Chennai",Higher education institution / University,India,2024-04-02,Asia-Pacific,https://www.annauniv.edu/,iqac@annauniv.edu,
Annai Fathima College of Arts and Science,Higher Education Institutions,India ,2022-10-02,Asia-Pacific,http://annaifathimacollege.edu.in/,navaraj2007@gmail.com,
Anoka Ramsey Community College,Higher Education Institutions,United States of America,2022-08-08,North America,http://www.anokaramsey.edu/,lisa.becker@anokaramsey.edu,
ANSTI,National/ Regional Networks & Organizations,,2024-04-02,,,,
APEC Business School ,Higher education institution / University,"Hong Kong , China",2024-04-02,,https://www.apec.edu.hk/,markus.chan@apec-edu.com,
APESP - Portuguese Association of Private Higher Education,National / Rational Networks & Organizations,Portugal,2023-09-11,Europe,www.apesp.pt,mcopetto@apesp.pt,
Appalachian State University,Higher education institution / University,United States of America,2025-03-15,,www.appstate.edu,poggiolin@appstate.edu,
Arab Youth Sustainable Development Network,National/regional network or organization,Yemen,2025-03-15,,http://www.aysdn.org/,mousa.hassan@aysdn.org,
Archbishop Charles Heerey College of Health Sciences & Technology,Higher Education Institutions,Nigeria ,2022-09-21,Africa,https:/www.achcohsten.edu.ng,Ike-Maria.Okoye@achcohsten.edu.ng; okoye_m@hotmail.com,
Arizona State University,Higher Education Institutions,United States of America,2022-07-04,North America,https://asuonline.asu.edu,andrea.weinberg@asu.edu,
ArtCenter College of Design,Higher education institution / University,United States,2025-03-15,,https://www.artcenter.edu/index.html,Stephanie.Marshall@artcenter.edu,
Ashank Desai Centre for Policy Studies,Higher education institution / University,India,2025-03-15,,https://www.cps.iitb.ac.in/,malishcm@iitb.ac.in,
"Ashoka University, India",Higher education institution / University,India,2025-03-15,,https://www.ashoka.edu.in,rajni.kaushik@ashoka.edu.in,
Asia Pacific University of Technology & Innovation (APU) - Malaysia,Higher Education Institutions,Malaysia,2023-08-09,Asia-Pacific,https://www.apu.edu.my/,dr.vinesh@apu.edu.my,
Asian Institute of Technology,Higher Education Institutions,Thailand,2012-01-02,Asia-Pacific,https://ait.ac.th/,president@ait.asia,
ASPUnivNet,National/ Regional Networks & Organizations,,2024-04-02,,,,
Association for Learning Design and Education for Sustainable Development- ALDESD,International Networks & Organizations,United Kingdom,2022-05-27,Europe,https://aldesd.org/,mtoro@codesignsesd.org,
Association for the Advancement of Sustainability in Higher Education (AASHE),National/ Regional Networks & Organizations,United States of America,2012-02-01,North America,https://www.aashe.org/,meghan@aashe.org,
Association of African Business Schools (AABS),National/ Regional Networks & Organizations,South Africa,,Africa,https://www.aabschools.com/,,
Association of Commonwealth Universities,International Networks & Organizations,United Kingdom,,Europe,https://www.acu.ac.uk/,,
Association of Governing Boards (AGB),National/ Regional Networks & Organizations,United States of America,,North America,https://agb.org/,,
Association of International Education Administrators (AIEA),International Networks & Organizations,United States of America,,North America,https://www.aieaworld.org/,,
Aston Business School,Higher Education Institutions,United Kingdom,2012-01-02,Europe,https://www.aston.ac.uk/bss/aston-business-school,j.s.edwards@aston.ac.uk,
Astrika ,Higher education institution / University,India,2024-04-02,,https://www.aastrika.org/our-team/,Helendavey123@gmail.com,
Aswan University,Higher Education Institutions,Egypt,2023-08-09,Africa,https://aswu.edu.eg/en,mostafa.gendi@aswu.edu.eg,
Atatürk University,Higher education institution / University,Türkiye,2024-04-02,,atauni.edu.tr ,tuna.batuhan@atauni.edu.tr,
Athena Music and Wellness Academy,Higher Education Institutions,United States of America,2022-09-19,North America,https://athenamwt.com/,roz@athenamwt.com,
Athena School of Management ,Higher Education Institutions,India ,2022-07-07,Asia-Pacific,https://www.athenaschoolofmanagement.com/,adityasingh.athena@gmail.com ,
Atlantic International University,Higher Education Institutions,United States of America,2022-09-19,North America,https://www.aiu.edu/,mustafa.kayyali@univ-azteca.edu.mx,
Atlas Skilltech University,Higher Education Institutions,India ,2022-11-15,Asia-Pacific,https://atlasuniversity.edu.in/,utsav.shroff@atlasuniversity.edu.in,
Atmiya University,Higher Education Institutions,India ,2022-04-23,Asia-Pacific,https://atmiyauni.ac.in/,vc@atmiyauni.ac.in,
"Atomi University, Faculty of Management",Higher Education Institutions,Japan,2012-01-02,Asia-Pacific,https://www.atomi.ac.jp/univ/english/,yamasawa@atomi.ac.jp,
Australasian Council for Open Distance and eLearning (ACODE),National / Rational Networks & Organizations,Australia,2023-02-27,Asia-Pacific,https://www.acode.edu.au/,r.selvaratnam@ecu.edu.au,
Australian National University ,Higher education institution / University,Australia and Samoa,2024-04-02,,www.anu.edu.au,george.carter@anu.edu.au,
AUT University,Higher Education Institutions University,New Zealand,2023-07-11,Asia-Pacific,www.aut.ac.nz; https://www.aut.ac.nz/about/social-responsibility/sustainability-at-aut ,alba.munoz@ucc.edu.co,
Azerbaijan National Conservatory,Higher education institution / University,Azerbaijan,2025-03-15,,https://conservatory.edu.az/,aygulahmadova8919@gmail.com,
Azerbaijan State University of Economics,Higher education institution / University,Azerbaijan,2024-04-02,,unec.edu.az,rector@unec.edu.az,
Azteca University,Higher Education Institutions,Mexico,2022-10-17,Latin America and the Caribbean,https://univ-azteca.edu.mx/,mustafa.kayyali@univ-azteca.edu.mx,
Baccalaureate International Higher Education Board -BIHEB,Higher Education Institutions,Portugal,2023-10-23,Europe,www.biheb.org,bihebboard@gmail.com,
"Bacha Khan University, Charsadda, Pakistan",Higher Education Institutions,Pakistan ,2023-02-27,Asia-Pacific,bkuc.edu.pk,irfan.shah@bkuc.edu.pk,
Bahçeşehir Cyprus University,Higher Education Institutions,Cyprus,2012-01-02,Asia-Pacific,https://www.baucyprus.edu.tr/,burcu.toker@cyprus.bau.edu.tr,
,,,,,,,
Bahçeşehir University,Higher education institution / University,Turkey,2025-03-15,,www.bau.edu.tr,cisil.sohodol@bau.edu.tr,
Bahir Dar University ,Higher education institution / University,Ethiopia ,2025-03-15,, bdu.edu.et,bdu1501170@bdu.edu.et/abebegedefaw@gmail.com,
Bahria University Pakistan,Higher Education Institutions University,Pakistan ,2023-07-11,Asia-Pacific,https://www.bahria.edu.pk/,noureddine.zemmouri@univ-biskra.dz,
Baikal International Business School,Higher Education Institutions,Russia,2012-01-02,Europe,https://buk.irk.ru/english/,grosheva@buk.irk.ru,
Baku Higher Oil School,Higher education institution / University,Azerbaijan,2025-03-15,,https://www.bhos.edu.az/en,irada.ahmadova@bhos.edu.az,
"Balochistan University of Information Technology, Engineering and Management Sciences",Higher education institution / University,Pakistan,2024-04-02,,www.buitms.edu.pk,bilal.sarwar@buitms.edu.pk,
,,,,,,,
Baltic College,Higher Education Institutions,Germany,2012-01-02,Europe,,dreier@fh-mittelstand.de,
Bataan Peninsula State University,Higher Education Institutions,Philippines ,2023-02-27,Asia-Pacific,https://www.bpsu.edu.ph,ecmacaraeg@bpsu.edu.ph,
BC University of Business and Theology,Higher Education Institutions,United States of America,2023-03-24,North America,https://bcuniversity.org/,admin@bcuniversity.org,
"Beedie School of Business, Simon Fraser University",Higher Education Institutions,Canada ,2012-01-02,North America,https://beedie.sfu.ca/,breich@sfu.ca,
Beijing Normal University,Higher Education Institutions,China,2012-01-02,Asia-Pacific,https://english.bnu.edu.cn/,wuht@bnu.edu.cn,
Benadir University,Higher education institution / University,Somalia,2025-03-15,,www.bu.edu.so,Hiis@bu.edu.so,
Benchmarking Brazil Program,Higher Education Institutions,Brazil ,2012-01-02,Latin America and the Caribbean,,marilena@institutomais.org,
Bentley University,Higher Education Institutions,United States of America,2012-01-02,North America,https://www.bentley.edu/,glarson@bentley.edu,
Bhaktivedanta College,Higher education institution / University,Hungary,2024-04-02,Europe,https://www.bhf.hu/en/home,rector@bhf.hu,
"Bhavans vivekananda degree college, telagana",Higher Education Institutions,India ,2022-07-11,Asia-Pacific,https://www.bhavansvc.ac.in/,ankitabhavans2020@gmail.com,
"Bill and Melinda Gates College of Health Science and Technology, Ningi",Higher education institution / University,Nigeria,2024-04-02,Africa,www.bmgchtn.edu.ng,abubakaryusufsaid@gmail.com,
Bilston College UK,Higher Education Institutions,United Kingdom,2023-03-24,Europe,www.bilstoncollege.uk,Vk@bccollege.co.uk,
BINUS University,Higher education institution / University,Indonesia,2025-03-15,,https://binus.ac.id/,aninda.rahmasari@binus.edu,
"Biology Programe, Zaragoza Higher Studies Faculty, National Autonomous University of Mexico",Higher education institution / University,Mexico,2025-03-15,,https://www.zaragoza.unam.mx/licenciaturas/biologia/,cantellano@unam.mx,
Birla Institute of Management Technology,Higher Education Institutions,India ,2012-01-02,Asia-Pacific,https://www.bimtech.ac.in/,director@bimtech.ac.in;anupam.varma@bimt,
"Birla Institute of Technology & Science, Pilani",Higher Education Institutions,India ,2023-08-09,Asia-Pacific,https://bits-pilani.ac.in,registrar@pilani.bits-pilani.ac.in,
Birmingham City University ,Higher Education Institutions,United Kingdom,2023-09-26,Asia-Pacific,https://www.bcu.ac.uk/,emma.ransome@bcu.ac.uk,
Birzet University,Higher Education Institutions,Palestine  ,2023-10-23,Western Asia,www.birzeit.edu,nmattour@birzeit.edu,
BOLCRIS International,International Networks & Organizations,Nigeria ,2022-06-16,Africa,,bolaji83@yahoo.com,
Boston University,Higher education institution / University,USA,2025-03-15,,Www.bu.edu,pmcmanus@bu.edu,
Botswana International University of Science and Technology,Higher Education Institutions,Botswana,2023-09-26,Africa,www.biust.ac.bw,lekwatid@biust.ac.bw,
Botswana Open University ,Higher education institution / University,Botswana ,2024-04-02,Africa,Bou.ac.bw,psebopelo@staff.bou.ac.bw,
Botswana University of Agriculture and Natural Resources,Higher Education Institutions,Botswana,2023-10-16,Africa,www.buan.ac.bw,ialegwaila@gmail.com,
Bottega University,Higher education institution / University,United States,2024-04-02,North America,https://bottega.edu/,ekokkonen@gmail.com,
Bridgend College,College supporting HE courses,United Kingdom,2025-03-15,,https://www.bridgend.ac.uk/,lmorgan@bridgend.ac.uk,
British University Vietnam,Higher Education Institutions University,Vietnam,2023-07-11,Asia-Pacific,www.buv.edu.vn,info@institutomallea.edu.ar,
Brookhaven College,Higher Education Institutions,United States of America,2012-01-02,North America,https://www.dallascollege.edu/about/bhc/pages/default.aspx,tchesney@dcccd.edu,
Buckinghamshire New University,Higher Education Institutions,United Kingdom,2022-06-16,Europe,https://www.bucks.ac.uk/,Steve.Edge@Bucks.ac.uk,
Bugema University,Higher Education Institutions,Uganda,2022-11-15,Africa,https://bugemauniv.ac.ug/,hodct@bugemauniv.ac.ug,
Bukhara State University,Higher education institution / University,Uzbekistan,2025-03-15,,https://buxdu.uz/en/,shohib1991@gmail.com,
Bunkyo University,Higher Education Institutions,Japan,2012-01-02,Asia-Pacific,https://www.bunkyo.ac.jp/stf/kkokusai/English/about/,iec@stf.bunkyo.ac.jp,
Burundi Education Foundation ,International network or organization,United Kingdom,2023-07-11,Europe,https://www.burundieducationfoundation.org.uk,hodsr@tat.ac.in,
Business School Lausanne,Higher Education Institutions,Switzerland,2016-06-01,Europe,https://www.bsl-lausanne.ch/,jan.maisenbacher@bsl-lausanne.ch,
Business School Sao Paulo,Higher Education Institutions,Brazil ,2012-01-02,Latin America and the Caribbean,https://bsp.edu.br/,phillipsj@seattleu.edu,
Busitema university ,Higher education institution / University,Uganda ,2025-03-15,,https://busitema.ac.ug/,lomelevivian@gmail.com,
Cairo University,Higher Education Institutions,Egypt,2012-01-02,Africa,https://cu.edu.eg/Home,portal@cu.edu.eg,
"California State University, Fresno",Higher Education Institutions,United States of America,2022-04-05,North America,https://www.fresnostate.edu/,bweinman@csufresno.edu,
"California State University, Monterey Bay",Higher Education Institutions,United States of America,2012-01-02,North America,https://csumb.edu/,ksherman@csumb.edu,
Campus Biodiversity Network,International network or organization,Canada,2025-03-15,,https://www.campusbiodiversitynetwork.org,collink@vaniercollege.qc.ca,
Campus Euro-Latino-Americain de Sciences PO,Higher Education Institutions,France ,2012-01-02,Europe,https://www.sciencespo.fr/college/en/campus/poitiers.html,kevin.parthenay@sciencespo.fr,
Campus Respsonables (Sustainable Campus),National/ Regional Networks & Organizations,France ,,Europe,,,
Canadian University Dubai,Higher Education Institutions,United Arab Emirates,2022-06-09,Western Asia,https://www.cud.ac.ae/,albert.fakhoury@cud.ac.ae,
Canterbury Christ Church University,Higher Education Institutions,United Kingdom,2012-01-02,Europe,https://www.canterbury.ac.uk/,andrew.ironside@canterbury.ac.uk,
Cape Peninsula University of Technology,Higher education institution / University,South Africa,2024-04-02,,www.cput.ac.za,louwl@cput.ac.za,
CAPMAS,National/ Regional Networks & Organizations,Egypt,2022-07-10,Africa,,amirashaher145@gmail.com,
Cappadocia University,Higher Education Institutions University,Turkey,2023-07-11,Asia-Pacific,https://eko.kapadokya.edu.tr/,nhajra@sfc.edu,
Cardiff Metropolitan University,Higher Education Institutions,United Kingdom,2012-01-02,Europe,https://www.cardiffmet.ac.uk/,AJChapman@cardiffmet.ac.uk,
Cardiff University,Higher Education Institutions University,United Kingdom,2023-07-11,Europe,https://www.cardiff.ac.uk/,nlchi@thanhdouni.edu.vn,
Caribbean ASEAN Council,National/regional network or organization,Dominica,2024-04-02,,www.caribbeanaseancouncil.org,mpyngson@caribbeanaseancouncil.org,
Carleton University,Higher Education Institutions University,Canada ,2023-07-11,North America,https://carleton.ca/,olivier.borius@esme.fr,
Carmel Theological Seminary,Higher education institution / University,India,2024-04-02,,www.ctsedu.org,ctsinstitution@gmail.com,
Catholic Institute of Business and Technology,Higher Education Institutions,Ghana,2022-03-26,Africa,https://cibt.edu.gh/,emefa.amoako@oxfordatp-mentoring.com;   emefa.amoako@cibt.edu.gh,
Catholic University of Portugal (Porto) College of Biotechnology,Higher Education Institutions,Portugal,2012-01-02,Europe,https://www.porto.ucp.pt/en/faculty-biotechnology,mspinto@porto.ucp.pt,
CEEMAN,International Networks & Organizations,,2024-04-02,Europe,https://www.ceeman.org/,,
"Center for Sustainable Development, Ethiopian Civil Service University",Higher Education Institutions,Ethiopia,2022-10-17,Africa,,multefr@gmail.com,
"Center for Sustainable Urban Development (CSUD), The Climate School, Columbia University",Higher Education Institutions,United States of America,2022-07-05,North America,https://csud.climate.columbia.edu/,anna.rubbo@columbia.edu,
Central Bicol State University of Agriculture,Higher Education Institutions,Philippines ,2023-02-27,Asia-Pacific,https://cbsua.edu.ph/,emerson.bergonio@cbsua.eu.ph; sheryl.sanandres@cbsua.edu.ph,
"Central Christian University, Malawi",Higher Education Institutions,Malawi,2023-12-28,Africa,www.ccu.ac.mw,profonyakuleha@ccu.ac.mw,
,,,,,,,
Central South University of Forestry and Technology,Higher Education Institutions,China,2012-01-02,Asia-Pacific,https://english.csuft.edu.cn/,csuftxb@163.com,
Central university Ghana ,Higher Education Institutions,Ghana,2023-12-28,Africa,Www.central.edu.gh,Eafenyo@ central.edu.gh,
Central University of Tamil Nadu ,Higher education institution / University,India ,2024-04-02,,https://cutn.ac.in/department-of-commerce-2/#tab-102676,vinodan@cutn.ac.in ,
Centre for Research & Higher Education Development ,National/ Regional Networks & Organizations,Canada ,2023-08-09,North America,https://www.crhed.com,info@crhed.com,
Centre for Skill Development,Higher education institution / University,India,2024-04-02,,www.csd.net.in,rudragen@gmail.com,
Centre international d études supérieures en sciences agronomiques (Montpellier SupAgro),Higher Education Institutions,France ,2012-01-02,Europe,http://en.institut-agro-montpellier.fr/,wack@supagro.inra.fr,
CETYS University,Higher Education Institutions,Mexico,2023-08-14,Latin America and the Caribbean,www.cetys.mx,isaac.azuz@cetys.mx,
Chalmers University of Technology - Challenge Lab,Higher Education Institutions,Sweden,2014-01-02,Europe,https://challengelab.chalmers.se/,davian@chalmers.se,
Change Agents UK,Education and Sustainability Charity,United Kingdom,2022-09-19,Europe,https://www.changeagents.org.uk/,esmartinone@gmail.com,
Charles Darwin University,Higher Education Institutions,Australia,2023-01-10,Asia-Pacific,https://www.cdu.edu.au/,Katharine.Taylor@cdu.edu.au ,
Chatham University,Higher Education Institutions,United States of America,2012-01-02,North America,https://www.chatham.edu/,barazzone@chatham.edu,
Christ University,Higher education institution / University,INDIA,2025-03-15,,https://christuniversity.in/,leena.james@christuniversity.in,
Christian Care Foundation Pakistan ,National/regional network or organization,Pakistan ,2025-03-15,,www.ccfpk.org,shanzaytanveer07@gmail.com,
"Chukwuemeka Odumegwu Ojukwu University, Anambra State",Higher education institution / University,Nigeria,2025-03-15,,www.coou.edu.ng,nn.ikechebelu@coou.edu.ng,
Chuo University,Higher Education Institutions,Japan,2012-01-02,Asia-Pacific,https://www.chuo-u.ac.jp/english/,g-hisyoka@tamajs.chuo-u.ac.jp,
Clarkson University,Higher Education Institutions,United States of America,2012-01-02,North America,https://www.clarkson.edu/,collins@clarkson.edu,
"CMR University, Bengaluru, Karanataka, India",Higher education institution / University,India,2025-03-15,,https://www.cmr.edu.in/,director.iqac@cmr.edu.in,
CNRD,International Networks & Organizations,,2024-04-02,,https://www.cnrd.info/,,
Cochin University of Science and Technology,Higher education institution / University,India,2025-03-15,,www.cusat.ac.in,sangeethakprathaap@cusat.ac.in,
CoDesignS Education for Sustainable Development,International Networks & Organizations,United Kingdom,2022-10-17,Europe,https://codesignsesd.org,mtoro@codesignsesd.org,
Código R Internacional,International Networks & Organizations,Uruguay,2023-08-09,Latin America and the Caribbean,www.codigor.org ,mcopes@codigor.org,
Colegio de San Juan de Letran,Higher Education Institutions,Philippines ,2023-09-26,Asia-Pacific,www.letran.edu.ph,planning@letran.edu.ph,
College of DuPage,Higher Education Institutions,United States of America,2022-11-07,North America,https://cod.edu/,sandifor@cod.edu,
College of Education for Women,Higher education institution / University,Pakistan,2025-03-15,,https://www.fcwp.edu.pk,mwaseem@fcwp.edu.pk,
,,,,,,,
"College of Management, Mahidol University",Higher education institution / University,Thailand,2024-04-02,Asia-Pacific,https://www.cm.mahidol.ac.th/web/,nattavud.pim@mahidol.ac.th,
College of New Caledonia,Higher Education Institutions,Canada ,2022-06-20,North America,https://cnc.bc.ca/,chases1@cnc.bc.ca,
Colleges and Institutes Canada,National/ Regional Networks & Organizations,Canada ,2023-10-23,North America,https://www.collegesinstitutes.ca/,JVarga-Toth@collegesinstitutes.ca,
Colorado State University,Higher Education Institutions,United States of America,2022-06-21,North America,https://www.colostate.edu/,nakamura@colorstate.edu,
Commission on Higher Education -  Regional Office 1,National/regional network or organization,Philippines,2025-03-15,,site.chedro1.com ,izn.chedro1@ched.gov.ph,
Committee of Vice-Chancellors of Nigerian Universities,National/ Regional Networks & Organizations,Nigeria ,2023-02-27,Africa,https://www.cvcnigeria.org,yochefu@cvcnigeria.org,
COMSATS University Islamabad,Higher education institution / University,Pakistan,2025-03-15,,comsats.edu.pk,famalik@comsats.edu.pk,
COMUE Lille Nord de France,Higher Education Institutions,France ,2014-01-02,Europe,https://www.propolis-amo.fr/reference/113/pres-ulnf-59000-pres-universite-lille-nord-de-france,eugeny.bodin@pres-ulnf.fr,
"Concordia University, John Molson School of Business",Higher Education Institutions,Canada ,2022-08-17,North America,https://www.concordia.ca/jmsb.html,guy.barbeau@concordia.ca,
"Conestoga College, School of Business",Higher education institution / University,Canada,2025-03-15,,https://www.conestogac.on.ca/business/,adibattista@conestogac.on.ca,
"Conférence des Grandes Ecoles (CGE, France)",National/ Regional Networks & Organizations,France ,2012-02-01,Europe,https://www.cge.asso.fr/,gerald.majou@cge.asso.fr,
Conference of University Presidents (CPU),National/ Regional Networks & Organizations,France ,,Europe,,,
Consortium for Sustainable Urbanization,International network or organization,United States ,2024-04-02,,https://csu.global/,kolatan@kolmacllc.com,
Consultorías y Capacitaciones EIRL,Higher education institution / University,Chile,2025-03-15,,www.uach.cl,victorialopezcasanova@gmail.com,
Corporación Universitaria Remington,Higher Education Institutions University,Colombia,2023-07-11,Latin America and the Caribbean,https://www.uniremington.edu.co/,district@school.edu.sl,
Council for International Accreditation of Architecture and Design (CIAAD),International Networks & Organizations,United States of America,2019-09-02,North America,https://www.ciaad.org,brett.cameron@ciaad.org,
Council of Community Colleges of Jamaica,Government ,Jamaica,2025-03-15,,https://cccj.edu.jm,eo@cccj.edu.jm,
Coventry University,Higher education institution / University,UK,2025-03-15,,www.coventry.ac.uk,adelina.skirth@gmail.com,
Cranfield University,Higher Education Institutions,United Kingdom,2014-08-02,Europe,https://www.cranfield.ac.uk/,s.pollard@cranfield.ac.uk,
Creating Electronic ECOWAS with Global University System,Higher Education Institutions,,2018-01-02,Africa,,takutsumi@glosas.org,
Crown University,Higher Education Institutions,Ghana,2022-10-25,Africa,https://crown.edu.gh/,academic@crown.edu.gh ,
CSI COLLEGE OF ENGINEERING,Higher education institution / University,INDIA,2025-03-15,,www.csice.edu.in,principal@csice.edu.in,
CUNEF Universidad,Higher education institution / University,Spain,2024-04-02,Europe,https://www.cunef.edu/en/,anastasia.datsyuk@cunef.edu,
