Title,Date,Venue,Partners,Description,Series,SDGs,Concept Note,YouTube Link,Theme,Image,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital Platforms and Data Innovation for SDG Implementation and Monitoring,23-Jul-25,Virtual,UN Statistics Division in collaboration with several national statistics office representatives,"Showcasing how countries close SDG data gaps, this session featured a live demo of the UN Data Platform and national experiences: Statistics Korea (digital innovation), Palestine (geospatial data for policy), Dominican Republic (non‑traditional data for extreme events), and the UK (Open SDG customization). It highlighted integrating administrative, geospatial, citizen, and other innovative sources to improve timeliness, disaggregation, and policy relevance while maintaining NSO‑led quality and coherence.",2025,17,https://sdgs.un.org/sites/default/files/2025-07/Digital%20Platforms%20and%20Data%20Innovation%20rev%202.pdf ,https://youtu.be/x8YEbBYfo-w ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advancing Inclusive Data Systems: Strengthening Citizen Data for Impact,23-Jul-25,Hybrid,"Citizen Data, UN Statistics Division, UN Women, Open Data Watch, World Bank, UNITAR, PARIS21, Stakeholder Group of Persons with Disabilities, International Civil Society Centre","This full‑day workshop marked the UN Statistical Commission’s 2025 endorsement of the Copenhagen Framework on Citizen Data, recognizing citizen data within national data ecosystems. Four sessions covered: implementing the Framework (incl. new e‑learning), gender & citizen data (Participation for Transformation Model; cases from Ethiopia, Senegal, Mexico), intersectional & disability data (organizations of persons with disabilities experiences, World Federation of the Deaf), and integration with official sources (cases from Saint Lucia, Colombia, Ghana; Data2Policy). Discussions stressed quality, interoperability, governance, and trust to scale inclusive data for SDG monitoring and decision‑making.",2025,17,https://sdgs.un.org/sites/default/files/2025-07/SDGs%20in%20Practice%20-%20Concept%20template%20for%20organizers%20Submission_Public%20VI%20final%20v2.pdf ,https://youtu.be/5ICvfJqFvLI ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Opening segment The Crucial Role of Training and Learning for Advancing the 2030 Agenda for Sustainable Development,8-Jul-24,"CR11, UNHQ",UNITAR,"In 2024, seven SDG in Practice sessions will be organized in the margins of HLPF, covering topics such as the Future of Education and Artificial Intelligence, Partnership Building and MultiStakeholder Engagement, Driving the national transformations we need: lessons from the Global Sustainable Development Report, Climate Change, Biodiversity Loss and Pollution, Data Collection and Analysis for SDG Monitoring, and Harnessing Citizen-Generated Data for SDG and VNR Monitoring and Evaluation. The SDGs in Practice training sessions are open to all interested parties and are organized by UN entities in collaboration with a range of partners and stakeholders. The opening segment for the SDGs in Practice will be held in person, bringing together a range of experts involved in the fulfillment of the SDGs and the 2030 Agenda, focusing on the overarching topic of “Th",2024,17,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Opening.pdf ,https://cdnapisec.kaltura.com/p/2503451/embedPlaykitJs/uiconf_id/49754663?iframeembed=true&entry_id=1_ixdp27hj&config[playback]={%22audioLanguage%22:%22en%22}&config[ui]={%22locale%22:%22en%22} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Future of Education and Artificial Intelligence,8-Jul-24,Virtual,UNESCO International Institute for Higher Education in Latin America and the Caribbean (IESALC),"UNESCO IESALC is offering a 2-hour online training on The Future of Education and Artificial Intelligence (AI) to explore how AI is transforming teaching, learning, research, and institutional management. The session brings together Member States and stakeholders to discuss opportunities, challenges, and strategies for integrating AI into education systems. Key themes include ethics, capacity building, digital infrastructure, social inclusion, and youth and female leadership. Through dialogue and scenario workshops, participants will co-develop recommendations to ensure equitable, innovative, and sustainable digital transformations in education.",2024,,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Future.pdf ,https://youtu.be/EGnTvYPbdSw ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partnership building and multi-stakeholder engagement for the 2030 Agenda,8-Jul-24,Virtual,"The Partnering Initiative, and Partnerships2030","On 9 July 2024, UN DESA, The Partnering Initiative, and Partnerships2030 will host a virtual session on Partnership Building and Multi-Stakeholder Engagement for the 2030 Agenda. The event will explore how diverse actors can align interests, pool resources, and develop transformative partnerships to achieve the SDGs. Participants will be guided through frameworks, tools, and strategies to build sustainable, system-changing collaborations that no single entity could achieve alone",2024,17,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Partnerships.pdf ,https://youtu.be/cHhHuY7uv2o ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Driving the national transformations we need: lessons from the Global Sustainable Development Report,10-Jul-24,Virtual,UN Development Coordination Office and UN Development Programme,"On 10 July 2024, UN DESA/DSDG, in collaboration with the UN Development Coordination Office and UNDP, will host a virtual session on Driving the National Transformations We Need: Lessons from the Global Sustainable Development Report (GSDR). The event will examine the 2023 GSDR’s findings on the lack of progress toward the SDGs and the need for systemic approaches that identify synergies, manage trade-offs, and accelerate transformations. Participants will explore how evidence, networks, and tools can support integrated national strategies for sustainable development.",2024,,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Driving%20the%20national%20transformations%20we%20need_0.pdf ,https://youtu.be/4GMR08z6aUA ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Climate Change, Biodiversity Loss, and Pollution",10-Jul-24,Virtual,"UN Office for Disaster Risk Reduction, and UN Environment Programme","On 10 July 2024, UN DESA, UNDRR, and UNEP will convene a virtual session on Climate Change, Biodiversity Loss, and Pollution, addressing the interlinked “triple planetary crisis” and its implications for the SDGs. The discussion will highlight how climate change, biodiversity, and pollution intersect with poverty, health, food security, and sustainable cities, while exploring governance, science-policy integration, and inclusive partnerships. Participants will examine pathways to accelerate action, strengthen resilience, and foster sustainable, equitable solutions.",2024,13,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Climate%20etc.pdf ,https://youtu.be/9fI0OocrlJc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jobs and Social Protection,11-Jul-24,Virtual,ILO – International Labour Organisation,"On 11 July 2024, the International Labour Organization (ILO) will host a virtual session on Jobs and Social Protection. The event will explore how social protection, decent job creation, and labour market policies can foster resilience, reduce inequality, and ensure just transitions in the face of digital, demographic, and climate-related shifts. Drawing on the UN Global Accelerator on Jobs and Social Protection for Just Transitions, the session will highlight country-level approaches, financing strategies, and solutions to expand coverage, formalize work, and support vulnerable groups.",2024,8,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Jobs.pdf ,https://youtu.be/sNHiacXjcuY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Collection and Analysis for SDG Monitoring,11-Jul-24,Virtual,UN Statistics Division and Data Diplomacy Academy,"On 11 July 2024, the UN Statistics Division and the Data Diplomacy Academy will host a virtual session on Data Collection and Analysis for SDG Monitoring. The event will explore how official and citizen-generated data, combined with innovative tools and data diplomacy, can strengthen SDG monitoring and policymaking. Special focus will be given to the energy transition (SDG 7), with discussions on the role of inclusivity, transparency, and international collaboration in building accurate, equitable, and actionable data systems.",2024,17,https://sdgs.un.org/sites/default/files/2024-06/SDGs%20in%20Practice%20-%20Data.pdf ,https://youtu.be/obQVMwp1_Hq ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Peace, Justice, and Strong Institutions",12-Jul-24,Virtual,United Nations Office on Drugs and Crime (UNODC) and United Nations Development Programme (UNDP),"On 12 July 2024, UNODC and UNDP will host a virtual session on Peace, Justice, and Strong Institutions. The event will focus on strengthening institutional integrity and accountability through tools such as corruption risk management, anti-corruption frameworks, and survey-based indicators for SDG 16. Participants will explore practical approaches to prevent corruption, enhance transparency, and improve service delivery, contributing to more effective and trustworthy institutions worldwide.",2024,16,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Peace%20and%20Institutions_1.pdf ,https://youtu.be/8l-6ZujSWAs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harnessing Citizen-Generated Data for SDG and VNR Monitoring and Evaluation,17-Jul-24,Hybrid,Collaborative on Citizen Data,"On 17 July 2024, the Collaborative on Citizen Data, co-led by the UN Statistics Division, World Bank, and UN Women, will host an in-person/hybrid workshop on Harnessing Citizen-Generated Data for SDG and VNR Monitoring and Evaluation in New York. The workshop will explore how citizen data can fill gaps, enhance inclusivity, and inform policymaking and programmatic actions. Participants will engage with the draft Copenhagen Framework on Citizen Data, share best practices, and examine tools and methods for ethical, safe, and effective citizen data collection and use to support sustainable development.",2024,17,https://sdgs.un.org/sites/default/files/2024-07/SDGs%20in%20Practice%20-%20Citizen_0.pdf ,NOT AVAILABLE,,Picture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
